dataset,gurobi_reach,gurobi_nodes,gurobi_time,cplex_reach,cplex_nodes,cplex_time
Crop Mapping,2674.0,1.0,14.909072399139404,2674.0,0,48.185779094696045
Crop Mapping,2674.0,1.0,14.804173231124878,2674.0,0,44.034345865249634
Crop Mapping,2674.0,1.0,14.778428792953491,2674.0,0,45.79930257797241
Cluster,45.0,9285.0,5.790643692016602,45.0,3659,2.9865171909332275
Cluster,45.0,9285.0,5.293909788131714,45.0,3659,2.3831961154937744
Cluster,45.0,9285.0,6.134438991546631,45.0,3659,2.399258852005005
Cluster,45.0,9285.0,5.396052360534668,45.0,3659,2.3335392475128174
Cluster,45.0,9285.0,5.331672668457031,45.0,3659,2.336697578430176
Cluster,45.0,9285.0,5.275938272476196,45.0,3659,2.316863775253296
Cluster,45.0,9285.0,5.254534482955933,45.0,3659,2.280550241470337
Cluster,45.0,9285.0,5.2769834995269775,45.0,3659,2.5841453075408936
Cluster,45.0,9285.0,5.22917103767395,45.0,3659,2.3057732582092285
Cluster,45.0,9285.0,5.2983927726745605,45.0,3659,2.4201903343200684
Two Cluster,25.0,10400.0,6.749717950820923,25.0,5571,3.1476874351501465
Two Cluster,25.0,10400.0,6.651610612869263,25.0,5571,3.4090840816497803
Two Cluster,25.0,10400.0,6.636942863464356,25.0,5571,3.139347076416016
Two Cluster,25.0,10400.0,6.583499193191528,25.0,5571,3.076815128326416
Two Cluster,25.0,10400.0,6.89653754234314,25.0,5571,3.1480021476745605
Two Cluster,25.0,10400.0,6.644057750701904,25.0,5571,3.16601300239563
Two Cluster,25.0,10400.0,6.858026266098023,25.0,5571,3.1495373249053955
Two Cluster,25.0,10400.0,6.660038471221924,25.0,5571,3.4596142768859863
Two Cluster,25.0,10400.0,6.630167245864868,25.0,5571,3.1168947219848637
Two Cluster,25.0,10400.0,6.655956983566284,25.0,5571,3.1742382049560547
Diffused Benchmark,16.0,211023.0,120.00371813774107,20.0,41552,120.01436400413512
Diffused Benchmark,16.0,212090.0,120.00341248512268,20.0,41568,120.01119351387024
Diffused Benchmark,16.0,210565.0,120.00791692733765,20.0,41631,120.01066660881042
Diffused Benchmark,16.0,211414.0,120.00534677505492,20.0,41444,120.0119059085846
Diffused Benchmark,16.0,210734.0,120.00512337684631,20.0,41331,120.01309657096864
Diffused Benchmark,16.0,206520.0,120.00451421737672,20.0,40339,120.01078677177428
Diffused Benchmark,16.0,206633.0,120.00327348709106,20.0,40533,120.01075458526611
Diffused Benchmark,16.0,205912.0,120.00245237350464,20.0,40376,120.0116970539093
Diffused Benchmark,16.0,209575.0,120.01516699790956,20.0,41875,120.01796340942384
Diffused Benchmark,16.0,212833.0,120.01231837272644,20.0,41552,120.0099160671234
Prism,10.0,1.0,0.1762721538543701,10.0,0,0.083745002746582
Prism,10.0,1.0,0.1649096012115478,10.0,0,0.078629732131958
Prism,10.0,1.0,0.1675465106964111,10.0,0,0.0817875862121582
Prism,10.0,1.0,0.1971116065979004,10.0,0,0.0989067554473877
Prism,10.0,1.0,0.1622231006622314,10.0,0,0.1258845329284668
Prism,10.0,1.0,0.1858811378479004,10.0,0,0.0776491165161132
Prism,10.0,1.0,0.1743807792663574,10.0,0,0.0826151371002197
Prism,10.0,1.0,0.1663825511932373,10.0,0,0.1073670387268066
Prism,10.0,1.0,0.1637146472930908,10.0,0,0.0826079845428466
Prism,10.0,1.0,0.1647720336914062,10.0,0,0.0834908485412597
L1 Prism,2.0,316.0,0.5378062725067139,2.0,557,0.4502205848693847
L1 Prism,2.0,316.0,0.5349338054656982,2.0,557,0.4406743049621582
L1 Prism,2.0,316.0,0.5225205421447754,2.0,557,0.4493508338928222
L1 Prism,2.0,316.0,0.5368955135345459,2.0,557,0.4232032299041748
L1 Prism,2.0,316.0,0.5313935279846191,2.0,557,0.4228541851043701
L1 Prism,2.0,316.0,0.5240790843963623,2.0,557,0.4469590187072754
L1 Prism,2.0,316.0,0.5286033153533936,2.0,557,0.439835786819458
L1 Prism,2.0,316.0,0.5371041297912598,2.0,557,0.4473626613616943
L1 Prism,2.0,316.0,0.5306050777435303,2.0,557,0.4284946918487549
L1 Prism,2.0,316.0,0.5213897228240967,2.0,557,0.6606888771057129
Breast Cancer,357.0,1.0,0.0281050205230712,357.0,0,0.0502774715423584
Breast Cancer,357.0,1.0,0.0287792682647705,357.0,0,0.0530915260314941
Breast Cancer,357.0,1.0,0.028357982635498,357.0,0,0.0710904598236084
Breast Cancer,357.0,1.0,0.0284686088562011,357.0,0,0.0576741695404052
Breast Cancer,357.0,1.0,0.0294456481933593,357.0,0,0.1893513202667236
Breast Cancer,357.0,1.0,0.0293726921081542,357.0,0,0.0784590244293212
Breast Cancer,357.0,1.0,0.0286931991577148,357.0,0,0.0660099983215332
Breast Cancer,357.0,1.0,0.0284485816955566,357.0,0,0.0631971359252929
Breast Cancer,357.0,1.0,0.0293400287628173,357.0,0,0.0622088909149169
Breast Cancer,357.0,1.0,0.0419280529022216,357.0,0,0.072458267211914
Wine Quality Red,18.0,1.0,0.0529482364654541,18.0,224,2.008883476257324
Wine Quality Red,18.0,1.0,0.0508854389190673,18.0,224,1.9875919818878172
Wine Quality Red,18.0,1.0,0.0525128841400146,18.0,224,2.006333351135254
Wine Quality Red,18.0,1.0,0.0527989864349365,18.0,224,2.28253173828125
Wine Quality Red,18.0,1.0,0.0515840053558349,18.0,224,1.9767189025878904
Wine Quality Red,18.0,1.0,0.0516197681427001,18.0,224,1.9650559425354004
Wine Quality Red,18.0,1.0,0.05106782913208,18.0,224,1.9712297916412356
Wine Quality Red,18.0,1.0,0.0506753921508789,18.0,224,1.9854636192321775
Wine Quality Red,18.0,1.0,0.0506215095520019,18.0,224,1.9639604091644287
Wine Quality Red,18.0,1.0,0.0508365631103515,18.0,224,1.9872000217437744
Wine Quality White,20.0,1042.0,120.0036551952362,62.0,6183,120.04573965072632
Wine Quality White,20.0,1043.0,120.00680470466614,62.0,6183,120.03233098983765
Wine Quality White,20.0,1043.0,120.01474690437315,62.0,6183,120.04868006706238
Wine Quality White,20.0,1043.0,120.0076687335968,62.0,6183,120.03502321243286
Wine Quality White,20.0,1043.0,120.00341939926147,62.0,6183,120.04126811027528
Wine Quality White,20.0,1043.0,120.01434683799744,62.0,6183,120.02695441246031
Wine Quality White,20.0,1043.0,120.00440096855164,62.0,6183,120.02525687217712
Wine Quality White,20.0,1043.0,120.0256667137146,62.0,6183,120.02655625343324
Wine Quality White,20.0,1043.0,120.00410151481628,62.0,6183,120.03954815864564
Wine Quality White,20.0,1043.0,120.02548336982728,62.0,6183,120.03782486915588
South German Credit,40.0,106755.0,120.01357221603394,164.0,40763,120.01272368431091
South German Credit,40.0,105651.0,120.00322318077087,164.0,40738,120.01191473007202
South German Credit,40.0,105945.0,120.00573873519896,164.0,40592,120.01766610145567
South German Credit,40.0,105812.0,120.00410580635072,164.0,40745,120.0114643573761
South German Credit,40.0,105762.0,120.00460696220398,164.0,40564,120.01225781440736
South German Credit,40.0,105986.0,120.00422763824464,164.0,40748,120.01072478294373
South German Credit,40.0,106025.0,120.00514793395996,164.0,40547,120.01129007339478
South German Credit,40.0,105806.0,120.00368285179138,164.0,40749,120.01056790351868
South German Credit,40.0,105709.0,120.00363802909852,164.0,40707,120.01294040679932
South German Credit,40.0,105685.0,120.00317335128784,164.0,40721,120.01094126701356
Crop Mapping,2674.0,1.0,14.278472900390623,2674.0,0,45.74569416046143
Crop Mapping,2674.0,1.0,14.017132997512816,2674.0,0,40.63842010498047
Crop Mapping,2674.0,1.0,14.008966445922852,2674.0,0,41.68082046508789
Crop Mapping,2674.0,1.0,13.99648380279541,2674.0,0,39.48051428794861
Crop Mapping,2674.0,1.0,13.988584756851196,2674.0,0,48.7316951751709
Crop Mapping,2674.0,1.0,13.907027959823608,2674.0,0,43.263715982437134
Crop Mapping,2674.0,1.0,13.950063943862917,2674.0,0,40.73302507400513
Crop Mapping,2674.0,1.0,13.996241331100464,2674.0,0,41.46134352684021
Crop Mapping,2674.0,1.0,13.980304479599,2674.0,0,43.71747398376465
Crop Mapping,2674.0,1.0,13.956543445587158,2674.0,0,41.447028160095215
Cluster,45.0,2678.0,1.908630847930908,45.0,3846,2.802420854568481
Cluster,45.0,2678.0,1.927260398864746,45.0,3846,2.830789804458618
Cluster,45.0,2678.0,1.9031424522399905,45.0,3846,2.808809280395508
Cluster,45.0,2678.0,1.9052770137786863,45.0,3846,2.817220449447632
Cluster,45.0,2678.0,1.9101953506469729,45.0,3846,2.812029838562012
Cluster,45.0,2678.0,1.910071849822998,45.0,3846,2.818995714187622
Cluster,45.0,2678.0,1.8972032070159912,45.0,3846,2.800640106201172
Cluster,45.0,2678.0,2.109147787094116,45.0,3846,2.809753656387329
Cluster,45.0,2678.0,1.9032840728759768,45.0,3846,2.78841233253479
Cluster,45.0,2678.0,1.900782585144043,45.0,3846,2.8088061809539795
Two Cluster,26.0,10332.0,5.684350728988648,26.0,4941,3.558839797973633
Two Cluster,26.0,10332.0,5.659514427185059,26.0,4941,3.7604615688323975
Two Cluster,26.0,10332.0,5.689066886901856,26.0,4941,3.7072460651397705
Two Cluster,26.0,10332.0,5.696234464645386,26.0,4941,4.034152030944824
Two Cluster,26.0,10332.0,5.673029184341431,26.0,4941,3.5893633365631104
Two Cluster,26.0,10332.0,5.698908805847168,26.0,4941,3.755452871322632
Two Cluster,26.0,10332.0,5.681334733963013,26.0,4941,3.7671637535095215
Two Cluster,26.0,10332.0,5.66049861907959,26.0,4941,3.7603275775909424
Two Cluster,26.0,10332.0,5.715877056121826,26.0,4941,3.7436611652374263
Two Cluster,26.0,10332.0,5.705930233001709,26.0,4941,4.0350661277771
Diffused Benchmark,19.0,124316.0,120.00226140022278,18.0,55026,120.0102243423462
Diffused Benchmark,19.0,114557.0,120.00235843658449,18.0,55080,120.01008081436156
Diffused Benchmark,19.0,114032.0,120.00312995910645,18.0,54477,120.00975823402403
Diffused Benchmark,19.0,115141.0,120.00401782989502,18.0,54600,120.01080250740053
Diffused Benchmark,19.0,114578.0,120.00241708755492,18.0,54599,120.01030921936037
Diffused Benchmark,19.0,126570.0,120.00257992744446,18.0,54709,120.01074862480164
Diffused Benchmark,19.0,126146.0,120.00242829322816,18.0,54620,120.01091122627258
Diffused Benchmark,19.0,125491.0,120.0017831325531,18.0,54640,120.00918865203856
Diffused Benchmark,19.0,126570.0,120.00253629684448,18.0,54658,120.01067042350768
Diffused Benchmark,19.0,122188.0,120.00297808647156,18.0,54638,120.0101227760315
Prism,11.0,1.0,0.0569212436676025,11.0,0,0.0971210002899169
Prism,11.0,1.0,0.0547695159912109,11.0,0,0.0882267951965332
Prism,11.0,1.0,0.0499317646026611,11.0,0,0.0768311023712158
Prism,11.0,1.0,0.0829303264617919,11.0,0,0.1346673965454101
Prism,11.0,1.0,0.0499725341796875,11.0,0,0.082094669342041
Prism,11.0,1.0,0.0531573295593261,11.0,0,0.0729298591613769
Prism,11.0,1.0,0.0512604713439941,11.0,0,0.0881123542785644
Prism,11.0,1.0,0.0518510341644287,11.0,0,0.0819966793060302
Prism,11.0,1.0,0.0483613014221191,11.0,0,0.117431640625
Prism,11.0,1.0,0.0838789939880371,11.0,0,0.0730228424072265
L1 Prism,1.0,308.0,0.3612933158874511,1.0,228,0.2276074886322021
L1 Prism,1.0,308.0,0.3654432296752929,1.0,228,0.2300019264221191
L1 Prism,1.0,308.0,0.3575098514556885,1.0,228,0.2182881832122802
L1 Prism,1.0,308.0,0.3567404747009277,1.0,228,0.2252900600433349
L1 Prism,1.0,308.0,0.3616831302642822,1.0,228,0.2251410484313964
L1 Prism,1.0,308.0,0.3550817966461181,1.0,228,0.2332158088684082
L1 Prism,1.0,308.0,0.3598670959472656,1.0,228,0.225940465927124
L1 Prism,1.0,308.0,0.3624148368835449,1.0,228,0.2424812316894531
L1 Prism,1.0,308.0,0.3634374141693115,1.0,228,0.2616856098175049
L1 Prism,1.0,308.0,0.3582510948181152,1.0,228,0.2245857715606689
